family,above,below,n
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α.Π.Θ.,ΠΑΝ. ΔΥΤ. ΜΑΚ.,6608
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α.Π.Θ.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,6518
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α.Π.Θ.,Δ.Π.Θ.,6353
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,1226
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,Δ.Π.Θ.,3188
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,Δ.Π.Θ.,5605
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Ε.Κ.Π.Α.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3869
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Ε.Κ.Π.Α.,ΠΑΝ. ΑΙΓΑΙΟΥ,3916
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Ε.Κ.Π.Α.,Α.Π.Θ.,3697
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Ε.Κ.Π.Α.,Δ.Π.Θ.,3661
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΑΙΓΑΙΟΥ,4466
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,Α.Π.Θ.,2560
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,Δ.Π.Θ.,4762
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΑΙΓΑΙΟΥ,Α.Π.Θ.,768
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΑΙΓΑΙΟΥ,Δ.Π.Θ.,1582
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α.Π.Θ.,Δ.Π.Θ.,6190
ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,2897
ΓΕΩΠΟΝΙΑΣ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,699
ΓΕΩΠΟΝΙΑΣ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΔΥΤ. ΜΑΚ.,831
ΓΕΩΠΟΝΙΑΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,968
ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ,ΔΙ.ΠΑ.Ε.,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,605
ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1044
ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΠΑΤΡΩΝ,774
ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,367
ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,ΠΑΝ. ΠΑΤΡΩΝ,348
ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΠΑΝ. ΠΑΤΡΩΝ,1105
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,996
ΠΑΙΔΑΓΩΓΙΚΟ ΝΗΠΙΑΓΩΓΩΝ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,4057
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α.Π.Θ.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,5209
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α.Π.Θ.,ΠΑΝ. ΠΑΤΡΩΝ,3573
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α.Π.Θ.,ΠΑΝ. ΑΙΓΑΙΟΥ,5163
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΠΑΤΡΩΝ,2469
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Δ.Π.Θ.,ΠΑΝ. ΠΑΤΡΩΝ,1380
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Δ.Π.Θ.,ΠΑΝ. ΑΙΓΑΙΟΥ,4749
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΑΙΓΑΙΟΥ,3610
ΠΕΡΙΒΑΛΛΟΝΤΟΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,2533
ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,2134
ΓΕΩΠΟΝΙΑΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,623
ΓΕΩΠΟΝΙΑΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΠΑΝ. ΠΑΤΡΩΝ,569
ΓΕΩΠΟΝΙΑΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,510
ΓΕΩΠΟΝΙΑΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΠΑΝ. ΠΑΤΡΩΝ,841
ΓΕΩΠΟΝΙΑΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,699
ΓΕΩΠΟΝΙΑΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,355
ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΑΙΓΑΙΟΥ,1402
ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΔΙ.ΠΑ.Ε.,1385
ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,1142
ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ,ΠΑΝ. ΑΙΓΑΙΟΥ,ΔΙ.ΠΑ.Ε.,814
ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ,ΠΑΝ. ΑΙΓΑΙΟΥ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,882
ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΔΥΤ. ΜΑΚ.,1483
ΔΙΟΙΚΗΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,872
ΔΙΟΙΚΗΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΕΛ.ΜΕ.ΠΑ.,866
ΔΙΟΙΚΗΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΕΛ.ΜΕ.ΠΑ.,1198
ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,2064
ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,2079
ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1406
ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,1573
ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,834
ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,614
ΜΗΧΑΝΙΚΩΝ ΣΧΕΔΙΑΣΗΣ ΠΡΟΪΟΝΤΩΝ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ,ΠΑΝ. ΑΙΓΑΙΟΥ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,554
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,1989
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,Δ.Π.Θ.,1808
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΔΙ.ΠΑ.Ε.,1544
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1270
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,1474
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,Δ.Π.Θ.,1991
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΔΙ.ΠΑ.Ε.,1689
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1444
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,1654
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,Δ.Π.Θ.,ΔΙ.ΠΑ.Ε.,1406
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,Δ.Π.Θ.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,924
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,Δ.Π.Θ.,ΠΑΝ. ΔΥΤ. ΜΑΚ.,1072
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,749
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΔΥΤ. ΜΑΚ.,2015
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,696
ΠΛΗΡΟΦΟΡΙΚΗΣ,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,1095
ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,2613
ΓΕΩΠΟΝΙΑΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,381
ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,2006
ΕΡΓΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,878
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,467
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,Α.Π.Θ.,ΔΙ.ΠΑ.Ε.,1149
ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ,Ε.Κ.Π.Α.,ΠΑΝ. ΠΑΤΡΩΝ,2225
ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ,Ε.Κ.Π.Α.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,2326
ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1452
ΟΙΚΟΝΟΜΙΚΗΣ ΕΠΙΣΤΗΜΗΣ,Ο.Π.Α.,ΠΑΝ. ΠΕΙΡΑΙΑ,2899
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑ. ΜΑΚ.,Α.Π.Θ.,2341
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑ. ΜΑΚ.,Ε.Κ.Π.Α.,702
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,Α.Π.Θ.,Ε.Κ.Π.Α.,688
ΠΛΗΡΟΦΟΡΙΚΗΣ,Α.Π.Θ.,Ο.Π.Α.,912
ΠΛΗΡΟΦΟΡΙΚΗΣ,Α.Π.Θ.,ΠΑΝ. ΠΕΙΡΑΙΑ,1084
ΠΛΗΡΟΦΟΡΙΚΗΣ,Ο.Π.Α.,ΠΑΝ. ΠΕΙΡΑΙΑ,2763
ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ,Ε.Κ.Π.Α.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,1303
ΒΙΟΛΟΓΙΑΣ,Ε.Κ.Π.Α.,ΠΑΝ. ΠΑΤΡΩΝ,1802
ΒΙΟΛΟΓΙΑΣ,Ε.Κ.Π.Α.,Α.Π.Θ.,1268
ΒΙΟΛΟΓΙΑΣ,Ε.Κ.Π.Α.,ΠΑΝ. ΚΡΗΤΗΣ,1590
ΒΙΟΛΟΓΙΑΣ,ΠΑΝ. ΠΑΤΡΩΝ,Α.Π.Θ.,548
ΒΙΟΛΟΓΙΑΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΚΡΗΤΗΣ,2236
ΒΙΟΛΟΓΙΑΣ,Α.Π.Θ.,ΠΑΝ. ΚΡΗΤΗΣ,1675
ΙΑΤΡΙΚΗΣ,Ε.Κ.Π.Α.,ΠΑΝ. ΠΑΤΡΩΝ,2116
ΙΑΤΡΙΚΗΣ,Ε.Κ.Π.Α.,Α.Π.Θ.,1709
ΙΑΤΡΙΚΗΣ,Ε.Κ.Π.Α.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,1978
ΙΑΤΡΙΚΗΣ,Ε.Κ.Π.Α.,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,1979
ΙΑΤΡΙΚΗΣ,Ε.Κ.Π.Α.,ΠΑΝ. ΚΡΗΤΗΣ,2136
ΙΑΤΡΙΚΗΣ,Ε.Κ.Π.Α.,Δ.Π.Θ.,2024
ΙΑΤΡΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,Α.Π.Θ.,622
ΙΑΤΡΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,1901
ΙΑΤΡΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,1771
ΙΑΤΡΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΚΡΗΤΗΣ,2262
ΙΑΤΡΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,Δ.Π.Θ.,2141
ΙΑΤΡΙΚΗΣ,Α.Π.Θ.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,2551
ΙΑΤΡΙΚΗΣ,Α.Π.Θ.,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,2571
ΙΑΤΡΙΚΗΣ,Α.Π.Θ.,ΠΑΝ. ΚΡΗΤΗΣ,2443
ΙΑΤΡΙΚΗΣ,Α.Π.Θ.,Δ.Π.Θ.,2626
